Número de Extracto,Fecha Contable,Estado,Referencia,Fecha Efectiva,Descripción,Tipo,Monto,Banco,Cuenta Bancaria,Cuenta Contable,Sub-cuenta,Código de Transacción,Divisa
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30300353,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,23299.18,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30300128,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,22203.25,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30300818,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,18731.64,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30400509,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,41839.98,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30400508,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,269704.31,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700033,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,3666.92,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700033,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,21228.56,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700040,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,22325.73,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700028,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,7570.23,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700033,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,25473.13,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700029,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,72790.5,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D30700033,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,205257.02,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
